iter	Passed	Remaining
716	4932	1946
717	4938	1939
718	4945	1932
719	4952	1925
720	4959	1919
721	4966	1912
722	4972	1905
723	4979	1898
724	4985	1891
725	4991	1883
726	4998	1876
727	5004	1869
728	5011	1862
729	5016	1855
730	5023	1848
731	5030	1841
732	5036	1834
733	5043	1827
734	5049	1820
735	5055	1813
736	5062	1806
737	5069	1799
738	5076	1793
739	5083	1785
740	5089	1779
741	5096	1771
742	5102	1764
743	5109	1758
744	5115	1750
745	5122	1744
746	5128	1737
747	5134	1729
748	5141	1723
749	5147	1715
750	5155	1709
751	5161	1702
752	5168	1695
753	5175	1688
754	5181	1681
755	5188	1674
756	5194	1667
757	5200	1660
758	5207	1653
759	5213	1646
760	5220	1639
761	5226	1632
762	5232	1625
763	5238	1618
764	5244	1611
765	5251	1604
766	5257	1597
767	5263	1590
768	5270	1583
769	5295	1581
770	5312	1577
771	5324	1572
772	5342	1568
773	5358	1564
774	5377	1561
775	5384	1554
776	5394	1548
777	5407	1543
778	5415	1536
779	5421	1529
780	5428	1522
781	5434	1514
782	5440	1507
783	5447	1500
784	5453	1493
785	5460	1486
786	5467	1479
787	5473	1472
788	5480	1465
789	5486	1458
790	5493	1451
791	5499	1444
792	5505	1437
793	5512	1430
794	5519	1423
795	5525	1416
796	5531	1408
797	5538	1401
798	5545	1395
799	5551	1387
800	5559	1381
801	5566	1374
802	5574	1367
803	5580	1360
804	5589	1353
805	5595	1346
806	5602	1339
807	5609	1332
808	5615	1325
809	5623	1319
810	5630	1312
811	5637	1305
812	5645	1298
813	5652	1291
814	5659	1284
815	5667	1277
816	5674	1270
817	5680	1263
818	5687	1256
819	5694	1249
820	5702	1243
821	5708	1236
822	5716	1229
823	5723	1222
824	5729	1215
825	5736	1208
826	5742	1201
827	5749	1194
828	5755	1187
829	5761	1180
830	5769	1173
831	5775	1166
832	5783	1159
833	5789	1152
834	5795	1145
835	5801	1138
836	5808	1131
837	5815	1124
838	5821	1117
839	5829	1110
840	5835	1103
841	5841	1096
842	5848	1089
843	5855	1082
844	5862	1075
845	5868	1068
846	5875	1061
847	5881	1054
848	5887	1047
849	5894	1040
850	5900	1033
851	5907	1026
852	5914	1019
853	5920	1012
854	5927	1005
855	5933	998
856	5939	991
857	5946	984
858	5952	977
859	5959	970
860	5965	963
861	5971	956
862	5979	949
863	5985	942
864	5992	935
865	5998	928
866	6005	921
867	6011	914
868	6017	907
869	6024	900
870	6031	893
871	6038	886
872	6044	879
873	6050	872
874	6057	865
875	6063	858
876	6070	851
877	6078	844
878	6085	837
879	6092	830
880	6098	823
881	6105	816
882	6111	809
883	6118	802
884	6125	795
885	6131	788
886	6138	782
887	6144	775
888	6151	768
889	6158	761
890	6164	754
891	6171	747
892	6177	740
893	6184	733
894	6190	726
895	6196	719
896	6203	712
897	6209	705
898	6216	698
899	6222	691
900	6228	684
901	6235	677
902	6241	670
903	6248	663
904	6254	656
905	6260	649
906	6267	642
907	6273	635
908	6280	628
909	6286	621
910	6294	614
911	6300	607
912	6307	601
913	6314	594
914	6320	587
915	6327	580
916	6334	573
917	6340	566
918	6346	559
919	6353	552
920	6359	545
921	6366	538
922	6372	531
923	6379	524
924	6386	517
925	6393	510
926	6399	503
927	6405	496
928	6412	490
929	6418	483
930	6425	476
931	6431	469
932	6438	462
933	6445	455
934	6451	448
935	6458	441
936	6464	434
937	6471	427
938	6478	420
939	6484	413
940	6491	406
941	6497	400
942	6504	393
943	6510	386
944	6517	379
945	6523	372
946	6530	365
947	6537	358
948	6543	351
949	6549	344
950	6556	337
951	6562	330
952	6569	324
953	6575	317
954	6582	310
955	6590	303
956	6596	296
957	6604	289
958	6610	282
959	6618	275
960	6624	268
961	6631	261
962	6638	255
963	6645	248
964	6653	241
965	6659	234
966	6666	227
967	6673	220
968	6679	213
969	6686	206
970	6692	199
971	6700	193
972	6706	186
973	6712	179
974	6719	172
975	6725	165
976	6732	158
977	6738	151
978	6745	144
979	6752	137
980	6758	130
981	6765	124
982	6772	117
983	6779	110
984	6785	103
985	6792	96
986	6799	89
987	6805	82
988	6812	75
989	6818	68
990	6825	61
991	6831	55
992	6837	48
993	6844	41
994	6850	34
995	6856	27
996	6863	20
997	6869	13
998	6875	6
999	6881	0
